Gene.stable.ID	Gene.name	logFC	AveExpr	P.Value	adj.P.Val	Gene.description	Chromosome.scaffold.name	Strand	GO.term.name	GO.term.accession	NCBI.gene..formerly.Entrezgene..ID
ENSMMUG00000038331	RPS4Y1	-9.39930110171286	4.85129564907183	1.48982321919667e-19	1.95375416965452e-15	ribosomal protein S4 Y-linked 1 [Source:VGNC Symbol;Acc:VGNC:101431]	Y	1	translation	GO:0006412	100270700
ENSMMUG00000043966	DDX3Y	-8.5499984341124	4.84641359172311	3.05433714955768e-18	2.00272886896497e-14	DEAD-box helicase 3 Y-linked [Source:VGNC Symbol;Acc:VGNC:101429]	Y	1	RNA helicase activity	GO:0003724	100270694
ENSMMUG00000045991	USP9Y	-8.47556158261663	3.91130124596607	1.33307094086729e-17	5.82729743951123e-14	ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633]	Y	1			100270703
NA	LOC106995245	10.5752596317929	1.95454198828919	4.10344821322072e-16	1.34531549670441e-12	NA	NA	NA	NA	NA	NA
ENSMMUG00000046378	ZFY	-7.7016343325112	3.59458536909592	5.57752754198641e-16	1.4628739237122e-12	zinc finger protein Y-linked [Source:NCBI gene (formerly Entrezgene);Acc:100270705]	Y	1	metal ion binding	GO:0046872	100270705
NA	LOC106992273	-7.44735873590156	3.32734458372934	2.09961122577223e-14	3.99228522019907e-11	NA	NA	NA	NA	NA	NA
ENSMMUG00000045017	KDM5D	-6.0328887046805	2.05166214919246	2.13100476905547e-14	3.99228522019907e-11	lysine demethylase 5D [Source:VGNC Symbol;Acc:VGNC:101430]	Y	-1	DNA binding	GO:0003677	100270697
ENSMMUG00000038824	RPS4Y2	-7.21196669665851	3.23412558894953	5.01013171633192e-14	8.2128584159971e-11	ribosomal protein S4, Y-linked 2 [Source:NCBI gene (formerly Entrezgene);Acc:100270701]	Y	1	translation	GO:0006412	100270701
NA	LOC114676365	-6.27556500394035	2.34645333347922	2.64857971080985e-13	3.56247390606624e-10	NA	NA	NA	NA	NA	NA
NA	LOC106995404	-7.15423304649616	3.23952610491999	2.7165425545724e-13	3.56247390606624e-10	NA	NA	NA	NA	NA	NA
ENSMMUG00000038182	UTY	-6.63650219595183	2.593277004581	6.58106043801821e-13	7.84582059856098e-10	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked [Source:VGNC Symbol;Acc:VGNC:101433]	Y	-1	protein binding	GO:0005515	100270704
ENSMMUG00000043715	EIF1AY	-6.91064411654219	3.41012483866342	8.81387609785445e-13	9.63209759560527e-10	eukaryotic translation initiation factor 1A, Y-linked [Source:NCBI gene (formerly Entrezgene);Acc:100270695]	Y	1	translational initiation	GO:0006413	100270695
NA	LOC106995406	-6.60424884678247	2.72113600015654	9.79339652755255e-13	9.87927708171724e-10	NA	NA	NA	NA	NA	NA
NA	CYHYorf15B	-5.96801368284703	2.13501506125235	2.09212923220291e-12	1.95972733936493e-09	NA	NA	NA	NA	NA	NA
ENSMMUG00000046495	TBL1Y	-6.70658752540662	2.47923158874726	1.65877048363449e-11	1.45020774149218e-08	transducin beta like 1 Y-linked [Source:VGNC Symbol;Acc:VGNC:101432]	Y	1	transcription corepressor activity	GO:0003714	100270702
NA	LOC114672378	-5.95055822090944	2.15085977144957	2.19739034047579e-10	1.80103605781247e-07	NA	NA	NA	NA	NA	NA
NA	LOC106995407	-6.84418324129671	2.58892641986313	1.12557701756882e-06	0.000868283353435144	NA	NA	NA	NA	NA	NA
ENSMMUG00000020553	KDM5C	0.70478903162691	6.48493832071641	3.86388922841772e-06	0.002815057963415	lysine demethylase 5C [Source:VGNC Symbol;Acc:VGNC:73816]	X	-1	DNA binding	GO:0003677	106992262
ENSMMUG00000007578	SHTN1	-0.821820977773058	6.6329030170293	1.01818689159817e-05	0.0070276331033781	shootin 1 [Source:VGNC Symbol;Acc:VGNC:77333]	9	-1	cytoplasm	GO:0005737	700636
ENSMMUG00000064084	THAP1	-0.838922130219895	4.07781995677568	6.15967229231976e-05	0.0403889712207407	THAP domain containing 1 [Source:VGNC Symbol;Acc:VGNC:104499]	8	-1	sequence-specific DNA binding	GO:0043565	705845
ENSMMUG00000006868	S100A9	-2.71054518721294	5.53811601605998	0.000124960582699673	0.078034908643977	S100 calcium binding protein A9 [Source:VGNC Symbol;Acc:VGNC:76961]	1	-1	calcium ion binding	GO:0005509	714690
ENSMMUG00000016226	ADAMTS12	0.870588694027276	4.95692453136853	0.0001756914689812	0.104728087464521	ADAM metallopeptidase with thrombospondin type 1 motif 12 [Source:VGNC Symbol;Acc:VGNC:69398]	6	-1	extracellular matrix organization	GO:0030198	701750
ENSMMUG00000011620	MRC1	-0.70997849776626	7.8315511903172	0.00027989251036524	0.159587407866511	mannose receptor C-type 1 [Source:VGNC Symbol;Acc:VGNC:74925]	9	1	endosome membrane	GO:0010008	701010
ENSMMUG00000009801	ZFX	0.475411540541737	7.13662462545351	0.000309692096333291	0.169220922971449	zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]	X	1	metal ion binding	GO:0046872	106992280
ENSMMUG00000022072	NUDT1	1.26688314587631	2.69178879596904	0.000394985674484698	0.207193685407693	nudix hydrolase 1 [Source:VGNC Symbol;Acc:VGNC:75550]	3	1	8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity	GO:0008413	713078
ENSMMUG00000059512	RNF125	0.964714830900802	3.90658501634202	0.000464472609193529	0.234272838344767	ring finger protein 125 [Source:VGNC Symbol;Acc:VGNC:104244]	18	-1	metal ion binding	GO:0046872	706726
ENSMMUG00000011201	UBE2D3	-0.343201445468991	9.62439951943872	0.00065811310025455	0.319647970249562	ubiquitin conjugating enzyme E2 D3 [Source:VGNC Symbol;Acc:VGNC:82265]	5	-1	protein modification process	GO:0036211	710772
NA	LOC721200	-1.95689709834152	1.60688984837604	0.000850388292617033	0.387585133161456	NA	NA	NA	NA	NA	NA
NA	HIGD1A	-0.427564564144122	6.23184321438846	0.000857096908775525	0.387585133161456	NA	NA	NA	NA	NA	NA
ENSMMUG00000057606	GPRIN3	-0.539318637736943	6.67753816712596	0.000931847837535187	0.407341751381215	GPRIN family member 3 [Source:VGNC Symbol;Acc:VGNC:106587]	5	-1			703567
ENSMMUG00000001340	RPL32	-0.510117173145861	5.38332358413356	0.00104759016515351	0.44316443309107	ribosomal protein L32 [Source:NCBI gene (formerly Entrezgene);Acc:694196]	2	-1	translation	GO:0006412	694196
ENSMMUG00000021299	RTN4	-0.343614562392639	8.62798218187929	0.00112825879823717	0.449430504567599	reticulon 4 [Source:VGNC Symbol;Acc:VGNC:106215]	13	1	membrane	GO:0016020	619181
ENSMMUG00000013359	SLC11A1	-0.72721934226008	6.11883933257839	0.00116204103272853	0.449430504567599	solute carrier family 11 member 1 [Source:VGNC Symbol;Acc:VGNC:77382]	12	1	metal ion transport	GO:0030001	701025
ENSMMUG00000022148	METTL1	-0.940797313502693	3.84429218037664	0.00116521558298752	0.449430504567599	methyltransferase 1, tRNA methylguanosine [Source:VGNC Symbol;Acc:VGNC:100078]	11	-1	cytosol	GO:0005829	715796
ENSMMUG00000003295	RPS4X	0.513002434230538	7.78026258232785	0.00122216961805007	0.45792949631739	ribosomal protein S4 X-linked [Source:NCBI gene (formerly Entrezgene);Acc:699397]	X	-1	translation	GO:0006412	699397
NA	LOC696885	0.794573783286037	4.55159203174868	0.00144986091753535	0.528152113126625	NA	NA	NA	NA	NA	NA
ENSMMUG00000010352	NEXN	0.68869584107063	7.85867773873507	0.00169478131284825	0.593306204885024	nexilin F-actin binding protein [Source:VGNC Symbol;Acc:VGNC:75275]	1	-1	actin cytoskeleton	GO:0015629	710960
ENSMMUG00000004921	RBM5	0.389470616075628	7.96981976721801	0.00171920358286037	0.593306204885024	RNA binding motif protein 5 [Source:VGNC Symbol;Acc:VGNC:76682]	2	1	RNA binding	GO:0003723	704114
ENSMMUG00000003317	KDM6A	0.50135515337146	5.44955825463037	0.00185188654736335	0.622708722618539	lysine demethylase 6A [Source:VGNC Symbol;Acc:VGNC:73820]	X	1	protein binding	GO:0005515	100427119
ENSMMUG00000013303	ALDH1A1	0.6795297124288	8.24516927232678	0.00197246709202069	0.630160933590493	aldehyde dehydrogenase 1 family member A1 [Source:VGNC Symbol;Acc:VGNC:81351]	15	-1	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	GO:0016620	702598
ENSMMUG00000004634	OGN	0.957232370928734	6.71145421115212	0.00202782995954872	0.630160933590493	osteoglycin [Source:VGNC Symbol;Acc:VGNC:75582]	15	-1	protein binding	GO:0005515	706168
ENSMMUG00000002167	MRC2	0.97308811989527	5.03437547934891	0.00206192403588997	0.630160933590493	mannose receptor C type 2 [Source:VGNC Symbol;Acc:VGNC:74784]	16	1	collagen catabolic process	GO:0030574	717576
ENSMMUG00000060429	ZNF358	0.62544400003128	5.67205198609271	0.00206625897090066	0.630160933590493	zinc finger protein 358 [Source:HGNC Symbol;Acc:HGNC:16838]	19	1			707823
ENSMMUG00000016211	PIGP	-0.447960992846754	5.34158366286037	0.00220965840419945	0.658571525441068	phosphatidylinositol glycan anchor biosynthesis class P [Source:VGNC Symbol;Acc:VGNC:81739]	3	1			696305
ENSMMUG00000037464	ZNF778	-0.802204808108524	4.27047897550557	0.00225985348824524	0.658571525441068	zinc finger protein 778 [Source:VGNC Symbol;Acc:VGNC:99640]	20	1	regulation of DNA-templated transcription	GO:0006355	721688
ENSMMUG00000013876	IGSF6	-0.900385934381802	5.46929924370176	0.00238926051569904	0.663321633774954	immunoglobulin superfamily member 6 [Source:VGNC Symbol;Acc:VGNC:73701]	20	-1	membrane	GO:0016020	699485
ENSMMUG00000004188	ACSL4	-0.554872411136132	8.47576591514749	0.0024416183690338	0.663321633774954	acyl-CoA synthetase long chain family member 4 [Source:VGNC Symbol;Acc:VGNC:69566]	X	-1	membrane	GO:0016020	704908
ENSMMUG00000020980	UBA7	0.776496096966492	4.52294120634607	0.00248947796256924	0.663321633774954	ubiquitin like modifier activating enzyme 7 [Source:VGNC Symbol;Acc:VGNC:78690]	2	-1	protein modification process	GO:0036211	704875
ENSMMUG00000011925	KLHL3	1.1073708630475	3.39449857841132	0.00249000478098845	0.663321633774954	kelch like family member 3 [Source:VGNC Symbol;Acc:VGNC:74186]	6	-1	protein binding	GO:0005515	713123
ENSMMUG00000006183	ANO5	1.04914967189252	2.50688164203092	0.00263712167009132	0.663321633774954	anoctamin 5 [Source:VGNC Symbol;Acc:VGNC:69720]	14	-1	protein dimerization activity	GO:0046983	704166
ENSMMUG00000009055	NELL1	2.16159050434826	3.53225040074928	0.00264327920653083	0.663321633774954	neural EGFL like 1 [Source:VGNC Symbol;Acc:VGNC:75312]	14	-1	calcium ion binding	GO:0005509	701438
ENSMMUG00000019514	UAP1	-0.68436738774068	5.28758388722142	0.00271225304676467	0.663321633774954	UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:VGNC Symbol;Acc:VGNC:78685]	1	-1	uridylyltransferase activity	GO:0070569	720116
